product_name,category,price,rating,review_count,product_url
  Laptop Dell Inspiron 15  , laptop ,12.500.000đ,4.5/5 sao,125 reviews,https://example.com/dell-inspiron-15
MacBook Air M1,Laptop,"19,990,000 VND",4.8/5 sao,210,https://example.com/macbook-air-m1
  iPhone 13  ,điện thoại,Liên hệ,4.7/5 sao,356 đánh giá,https://example.com/iphone-13
Samsung Galaxy A54,Điện thoại ,8.490.000đ,4.4/5 sao,180 reviews,https://example.com/samsung-a54
Tai nghe Sony WH-CH520,phụ kiện,1.290.000đ,4.6/5 sao,96,https://example.com/sony-wh-ch520
 Chuột Logitech M331 ,phụ kiện, 420.000đ ,4.3/5 sao,72,https://example.com/logitech-m331
Bàn phím cơ AKKO 3087,phụ kiện,Đang cập nhật,4.5/5 sao,N/A,https://example.com/akko-3087
  Màn hình LG 24MP400  ,màn hình,2.990.000đ,4.2/5 sao,54,https://example.com/lg-24mp400
Màn hình LG 24MP400,Màn Hình,2.990.000đ,4.2/5 sao,54,https://example.com/lg-24mp400
Loa Bluetooth JBL Go 3,âm thanh,890.000đ,4.1/5 sao,65,https://example.com/jbl-go-3
Máy in Canon LBP2900,văn phòng,3.150.000đ,4.0/5 sao,41,https://example.com/canon-lbp2900
  Webcam Rapoo C260 ,phụ kiện ,590.000đ,N/A,18,https://example.com/rapoo-c260
Ổ cứng SSD Kingston 500GB,Lưu trữ,"1,350,000 VND",4.7/5 sao,134,https://example.com/ssd-kingston-500gb
USB SanDisk 64GB, lưu trữ ,,4.0/5 sao,50,https://example.com/usb-sandisk-64gb
Ghế công thái học Sihoo M57,nội thất,5.990.000đ,4.6/5 sao,29,https://example.com/sihoo-m57
Bàn làm việc gỗ MDF,nội thất,2.150.000đ,4.1/5 sao,22,https://example.com/ban-mdf
Laptop ASUS Vivobook 15,Laptop,14.200.000đ,4.4/5 sao,145,https://example.com/asus-vivobook-15
Router TP-Link Archer C64,mạng,790.000đ,4.3/5 sao,64,https://example.com/tplink-c64
  Đồng hồ thông minh Amazfit Bip 5 ,thiết bị đeo,1.990.000đ,4.5/5 sao,88,https://example.com/amazfit-bip-5
Pin dự phòng Anker 10000mAh,phụ kiện,690.000đ,4.7/5 sao,,https://example.com/anker-10000
